# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 258K of event 'cycles:P'
# Event count (approx.): 252527269824
#
# Overhead  Command  Shared Object         Symbol                                                                                                                                                                               
# ........  .......  ....................  .....................................................................................................................................................................................
#
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff9503e026
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff9601e334
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff951b0ccd
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f996c3
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f7246b
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94ebfd84
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff96006c81
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f8da33
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f66244
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f91945
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f66608
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff96200130
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f72349
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f66b44
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff950173e8
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff950036f6
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff95005ba6
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f50675
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f55d0b
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6da85
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94ec3a08
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff960167b6
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff960034e2
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94ebfdb4
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff9519b11e
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff962001c3
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f585ba
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f87bd0
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff9601e345
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff95199ec5
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f5ef3e
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff96003464
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f8488e
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f87c8b
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff9519b118
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff9519aab7
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94ebfd9e
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6d09d
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6bd49
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f87a6a
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94e14fd5
